"","linenumber","sentiment","method","text","created_at","favorite_count","retweet_count","date"
"112",112,0,"AFINN","“The infestation of bedbugs at The New York Times office” @OANN  was perhaps brought in by lightweight journalist Bret Stephens, a Conservative who does anything that his bosses at the paper tell him to do! He is now quitting Twitter after being called a “bedbug.” Tough guy!",2019-08-28 11:22:27,64084,14280,"2019-08-28"
"113",113,-2,"AFINN","A made up Radical Left Story about Doral bedbugs, but Bret Stephens is loaded up with them! Been calling me wrong for years, along with the few remaining Never Trumpers - All Losers! https://t.co/KlzzMC40Vt",2019-08-28 03:23:11,54702,12750,"2019-08-28"
"114",114,-4,"AFINN","....Another is a one-time BAD Congressman from Illinois who lost in his second term by a landslide, then failed in radio. The third is a man who couldn’t stand up straight while receiving an award. I should be able to take them!",2019-08-27 23:36:43,88577,16354,"2019-08-27"
"115",115,-1,"AFINN","Can you believe it? I’m at 94% approval in the Republican Party, and have Three Stooges running against me. One is “Mr. Appalachian Trail” who was actually in Argentina for bad reasons....",2019-08-27 23:36:43,108088,20744,"2019-08-27"
"116",116,-3,"AFINN","Axios (whatever that is) sat back and said GEEEEE, let’s see, what can we make up today to embarrass the President? Then they said, “why don’t we say he wants to bomb a hurricane, that should do it!” The media in our Country is totally out of control!",2019-08-27 23:30:51,98596,23076,"2019-08-27"
"117",117,-3,"AFINN","They do stories so big on Elizabeth “Pocahontas” Warren’s crowd sizes, adding many more people than are actually there, and yet my crowds, which are far bigger, get no coverage at all. Fake News!",2019-08-27 22:04:01,76378,16740,"2019-08-27"
"118",118,1,"AFINN","It is amazing that I can be at 51% with Zogby when the Fake &amp; Corrupt News is almost 100% against me. Great job Mr. President!",2019-08-27 21:49:01,78967,15606,"2019-08-27"
"119",119,0,"AFINN","The G7 in France was so successful, and yet when I came back and read the Corrupt and Fake News, and watched numerous networks, it was not even recognizable from what actually took place at the Great G7 event!",2019-08-27 21:46:49,77272,17980,"2019-08-27"
"120",120,1,"AFINN","Looking forward to being with Dan Bishop in two weeks, in North Carolina. His opponent believes in Open Borders and Sanctuary Cities, and won’t protect your Second Amendment! https://t.co/nSX2yuXAb1",2019-08-27 21:45:53,42207,11410,"2019-08-27"
"121",121,-2,"AFINN",".@JudgeJeanine Pirro is following up her #1 Best Seller with another book that is destined to also be #1 – “Radicals, Resistance, and Revenge: The Left's Plot to Remake America.” Out today, go get it!",2019-08-27 21:35:53,49291,11704,"2019-08-27"
"122",122,0,"AFINN","The Federal Reserve loves watching our manufacturers struggle with their exports to the benefit of other parts of the world. Has anyone looked at what almost all other countries are doing to take advantage of the good old USA? Our Fed has been calling it wrong for too long!",2019-08-27 16:37:59,75534,19897,"2019-08-27"
"123",123,-1,"AFINN","Messy. 

John Kerry’s son cut business ties with Hunter Biden over Ukrainian oil deal https://t.co/HQGYWOrD8q",2019-08-27 16:28:05,0,14373,"2019-08-27"
"124",124,0,"AFINN","100% Confirmed! https://t.co/qVsmc9zXk4",2019-08-27 16:27:17,55786,13216,"2019-08-27"
"125",125,6,"AFINN","Wow! Yet another big storm heading to Puerto Rico. Will it ever end? Congress approved 92 Billion Dollars for Puerto Rico last year, an all time record of its kind for “anywhere.”",2019-08-27 16:09:22,65813,14443,"2019-08-27"
"126",126,-3,"AFINN","The G-7 was a great success for the USA and all. LameStream Media coverage bore NO relationship to what actually happened in France - FAKE NEWS. It was GREAT!",2019-08-27 14:45:26,68837,14940,"2019-08-27"
"127",127,3,"AFINN","No bedbugs at Doral. The Radical Left Democrats, upon hearing that the perfectly located (for the next G-7) Doral National MIAMI was under consideration for the next G-7, spread that false and nasty rumor. Not nice!",2019-08-27 14:40:42,68694,16436,"2019-08-27"
"128",128,2,"AFINN","Starting to look good for the highly respected Prime Minister of the Italian Republic, Giuseppe Conte. Represented Italy powerfully at the G-7. Loves his Country greatly &amp; works well with the USA. A very talented man who will hopefully remain Prime Minister!",2019-08-27 14:36:03,52527,11793,"2019-08-27"
"129",129,2,"AFINN","I have gotten to know President @jairbolsonaro well in our dealings with Brazil. He is working very hard on the Amazon fires and in all respects doing a great job for the people of Brazil - Not easy. He and his country have the full and complete support of the USA!",2019-08-27 14:30:15,121788,25492,"2019-08-27"
"130",130,-2,"AFINN","Just returned to Washington from France and the very successful G-7, only to find that the Fake News is still trying to perpetuate the phony story that I wanted to use Nuclear weapons to blow up hurricanes before they reach shore. This is so ridiculous, never happened!",2019-08-27 02:30:17,140485,30298,"2019-08-27"
"131",131,0,"AFINN","Thank you Mark! https://t.co/doRfNAx2Ez",2019-08-26 19:51:02,62390,13681,"2019-08-26"
"132",132,1,"AFINN","I agree 100%! https://t.co/qteDIrgG9S",2019-08-26 19:49:18,52710,10819,"2019-08-26"
"133",133,0,"AFINN","THANK YOU FRANCE🇺🇸🇫🇷
#G7Biarritz https://t.co/AHaCT7d5eY",2019-08-26 18:01:56,85575,18097,"2019-08-26"
"134",134,NA,NA,"https://t.co/bUjFDj2Kcm",2019-08-26 16:50:37,40779,10484,"2019-08-26"
"135",135,0,"AFINN","Just wrapped up a great meeting with my friend Prime Minister @NarendraModi of India at the #G7Summit in Biarritz, France! https://t.co/q0NOnEcjFO",2019-08-26 12:26:09,118581,26403,"2019-08-26"
"136",136,0,"AFINN","Very productive meeting with Angela Merkel, the Chancellor of the Federal Republic of Germany, at the #G7Summit in Biarritz, France! https://t.co/ShhIRLlG9I",2019-08-26 12:13:24,42079,9001,"2019-08-26"
"137",137,3,"AFINN","Great respect for the fact that President Xi &amp; his Representatives want “calm resolution.” So impressed that they are willing to come out &amp; state the facts so accurately. This is why he is a great leader &amp; representing a great country. Talks are continuing!https://t.co/0sotrd1Mzh",2019-08-26 09:30:41,68943,16992,"2019-08-26"
"138",138,-5,"AFINN","The story by Axios that President Trump wanted to blow up large hurricanes with nuclear weapons prior to reaching shore is ridiculous. I never said this. Just more FAKE NEWS!",2019-08-26 09:25:59,102220,25089,"2019-08-26"
"139",139,0,"AFINN","Great meeting this morning with President @AlsisiOfficial of Egypt at the Hôtel du Palais in Biarritz, France! #G7Summit https://t.co/zLMcgQtPdR",2019-08-26 08:58:07,38299,8682,"2019-08-26"
"140",140,NA,NA,"https://t.co/9I9DEJ4cD1",2019-08-26 06:13:05,45885,13176,"2019-08-26"
"141",141,-3,"AFINN","All Trump Haters and Lovers must watch. Thank you Steve Hilton! https://t.co/QaSkw8IWNz",2019-08-26 06:12:37,91511,31414,"2019-08-26"
"142",142,0,"AFINN","Thank you Katie! https://t.co/uCXoTFTEGm",2019-08-26 06:08:00,76243,16745,"2019-08-26"
"143",143,0,"AFINN",".@SteveHiltonx “The Democrats statements about Donald Trump are lies. Here are the Facts.” I will soon be posting the entire segment. Too much positive news, too many good things, to Tweet. PLEASE BE SURE TO WATCH! Thank you Steve Hilton for being a real pro and not being afraid!",2019-08-26 05:56:04,58187,14236,"2019-08-26"
"144",144,2,"AFINN","Congratulations to Louisiana’s Champions. See you at the White House! https://t.co/Qadi7uD5U4",2019-08-25 23:40:18,64636,12869,"2019-08-25"
"145",145,11,"AFINN","My Stock Market gains must be judged from the day after the Election, November 9, 2016, where the Market went up big after the win, and because of the win. Had my opponent won, CRASH!",2019-08-25 23:30:29,80177,16617,"2019-08-25"
"146",146,3,"AFINN","No, we actually had a very good and productive meeting. Nice! https://t.co/aXeUWcPTc1",2019-08-25 23:14:08,58988,12561,"2019-08-25"
"147",147,-4,"AFINN","In France we are all laughing at how knowingly inaccurate the U.S. reporting of events and conversations at the G-7 is. These Leaders, and many others, are getting a major case study of Fake News at it’s finest! They’ve got it all wrong, from Iran, to China Tariffs, to Boris!",2019-08-25 23:10:47,86723,22887,"2019-08-25"
"148",148,-1,"AFINN",".@TomFitton on @LouDobbs: “The more we learn about #SpyGate targeting of Trump, the worse it looks for the Obama administration. Every piece of information that comes out further exonerates President @realDonaldTrump while implicating the Obama gang."" https://t.co/2oeQj7gb9V https://t.co/FBkQn3Ndpi",2019-08-25 22:59:46,0,11240,"2019-08-25"
"149",149,0,"AFINN","JW announced that U.S. District Court Judge ordered the FBI to conduct a search w/in 60 days for records of communications w/former British spy and dossier author Christopher Steele post-dating Steele’s service as an FBI confidential source/
READ: https://t.co/TIljis9V9U",2019-08-25 22:59:22,0,7119,"2019-08-25"
"150",150,0,"AFINN","CREDIBLE Evidence Ilhan Omar Married Her Brother--'We're Not Sure Her Last Name is Omar!' WATCH MORE HERE: https://t.co/17HK2BGDvp https://t.co/vaTe60EWvw",2019-08-25 22:58:35,0,14118,"2019-08-25"
"151",151,0,"AFINN","Judicial Watch Director of Investigation Chris Farrell joins 
@SebGorka on America First to discuss the federal court hearings on the #HillaryClinton emails that are taking place in Washington D.C. on Thursday, August 22, 2019. READ MORE HERE: https://t.co/uLtzm3ILIP https://t.co/kFtjQzJsX4",2019-08-25 22:58:18,0,5769,"2019-08-25"
"152",152,0,"AFINN","JW announced it received records of 14 referrals of FBI employees to the organization’s Office of Professional Responsibility (OPR) for the unauthorized disclosure of sensitive or classified information. 

https://t.co/hqeQru5K6q",2019-08-25 22:57:41,0,8138,"2019-08-25"
"153",153,0,"AFINN","Dozens of foreign nationals with shady backgrounds have vanished from the FBI’s radar after the agency brought them to the U.S. to help with investigations. The nation’s premier intel-driven law enforcement agency can’t keep track of its own informants. https://t.co/cWW4XwseOJ",2019-08-25 22:55:08,0,9147,"2019-08-25"
"154",154,5,"AFINN","Americans need an Intelligence Committee that can be trusted, and Representative #AdamSchiff has proven that he cannot be trusted with classified information. RETWEET if you agree &amp; click HERE: https://t.co/txWWtlNk0Y https://t.co/vu18lEKgey",2019-08-25 22:54:38,0,15148,"2019-08-25"
"155",155,-2,"AFINN","A disgrace! https://t.co/fXss6eixS1",2019-08-25 22:53:36,45814,13239,"2019-08-25"
"156",156,-3,"AFINN","A Judicial Watch lawsuit forced the state of California to begin removing more than 1.5 million potentially invalid names off their voter rolls. But there is more work to be done. Sign HERE: https://t.co/uHl3mXTHdK https://t.co/kIQBqWCjyT",2019-08-25 22:36:59,0,9324,"2019-08-25"
"157",157,0,"AFINN","Great meetings at the @G7 in Biarritz, France! #G7Biarritz https://t.co/OdA4SQxUYf",2019-08-25 19:23:23,37083,8684,"2019-08-25"
"158",158,2,"AFINN","Thank you Eric. So true! https://t.co/9hhVOp2whc",2019-08-25 18:38:47,46557,11258,"2019-08-25"
"159",159,-3,"AFINN","The question I was asked most today by fellow World Leaders, who think the USA is doing so well and is stronger than ever before, happens to be, “Mr. President, why does the American media hate your Country so much? Why are they rooting for it to fail?”",2019-08-25 18:37:26,0,42046,"2019-08-25"
"160",160,0,"AFINN","USMCA, make it bipartisan. Everybody wants it! https://t.co/lloDwZr4iN",2019-08-25 18:36:51,37054,9123,"2019-08-25"
"161",161,2,"AFINN","Jesse &amp; Emma, Great News. Congratulations!!!!! https://t.co/ja7iAN1ypO",2019-08-25 18:34:59,40240,6983,"2019-08-25"
"162",162,0,"AFINN",".@USTradeRep Lighthizer on today's trade announcement: ""It has 3 parts—agriculture, industrial tariffs, and digital trade . . . This will open up markets to over 7 BILLION dollars of those products."" https://t.co/c0mYKjNViL",2019-08-25 18:32:09,0,8876,"2019-08-25"
"163",163,0,"AFINN","""We have excess corn in various parts of our country with our farmers because China did not do what they said they were going to do. And Prime Minister @AbeShinzo, on behalf of Japan, they're going to be buying all of that corn."" — President @realDonaldTrump https://t.co/cqRTDeKZLR",2019-08-25 18:31:43,0,17372,"2019-08-25"
"164",164,-1,"AFINN","President @realDonaldTrump never stops working on behalf of the American people! 🇺🇸 https://t.co/7sO7Oyo6A9",2019-08-25 18:31:09,0,10773,"2019-08-25"
"165",165,0,"AFINN","""Our relationship with Prime Minister @AbeShinzo and Japan has been, I think, the best it's ever been."" —President @realDonaldTrump at #G7Biarritz https://t.co/l4rhpwaTPL",2019-08-25 18:30:58,0,7602,"2019-08-25"
"166",166,2,"AFINN","President @realDonaldTrump: ""Thus far, this has been really a great G7. And I want to congratulate France."" #G7Biarritz https://t.co/tlhxjA1NG9",2019-08-25 18:30:32,0,7076,"2019-08-25"
"167",167,2,"AFINN","President @realDonaldTrump met with Prime Minister @BorisJohnson to discuss the special relationship between the United States and the United Kingdom. 🇺🇸🇬🇧 https://t.co/DoxuY0U13r",2019-08-25 18:29:35,0,5777,"2019-08-25"
"168",168,3,"AFINN","Happy Birthday Vince! https://t.co/trOf5Ivmwq",2019-08-25 18:28:20,39349,7463,"2019-08-25"
"169",169,-3,"AFINN","The question I was asked most today by fellow World Leaders, who think the USA is doing so well and is stronger than ever before, happens to be, “Mr. President, why does the American media hate your Country so much? Why are they rooting for it to fail?”",2019-08-25 17:30:21,155733,42046,"2019-08-25"
"170",170,3,"AFINN","Who’s 1st leader POTUS chose to sit with for bilat here at #G7 in Biarritz? UK’s new prime minister Boris Johnson. 

“He needs no advice” on Brexit, Trump told us. “He’s the right man for the job. I've been saying that for a long time. It didn't make your predecessor very happy."" https://t.co/kAmYMWjUz0",2019-08-25 16:40:25,0,6615,"2019-08-25"
"171",171,1,"AFINN","Big Trade Deal just agreed to with Prime Minister Abe of Japan. Will be great for our Farmers, Ranchers and more. Really big Corn purchase!",2019-08-25 16:38:12,70741,16572,"2019-08-25"
"172",172,0,"AFINN","So @donnabrazile gives Crooked Hillary the Questions, and now she’s on @FoxNews!",2019-08-25 16:35:19,51335,13548,"2019-08-25"
"173",173,-3,"AFINN","Rasmussen at 50%. @MediaBuzzFNC &amp; @FoxNews are only getting worse! Now @donnabrazile &amp; others on Fox. Not what it used to be! https://t.co/Uo51Yn5PTX",2019-08-25 15:58:28,35699,9036,"2019-08-25"
"174",174,3,"AFINN","Happy Birthday Regis, a truly special man!",2019-08-25 15:50:29,48633,7101,"2019-08-25"
"175",175,3,"AFINN","Happy Birthday Sean! https://t.co/iQgY6RTWST",2019-08-25 15:47:31,75080,12930,"2019-08-25"
"176",176,1,"AFINN","JUST NOW: President @realDonaldTrump and Prime Minister @AbeShinzo announced a trade deal. 

""This is a tremendous deal for the United States. It's a really tremendous deal for our farmers."" https://t.co/1y42L8x0p4",2019-08-25 15:25:16,0,14630,"2019-08-25"
"177",177,0,"AFINN","Great working breakfast this morning with Prime Minister @BorisJohnson at the Hôtel du Palais in Biarritz, France! #G7Biarritz https://t.co/ISQRFz7kJO",2019-08-25 08:05:04,51622,11642,"2019-08-25"
"178",178,-3,"AFINN","Such False and Inaccurate reporting thus far on the G-7. The Fake News knows this but they can’t help themselves! Leaving now to have breakfast with Boris J.",2019-08-25 05:45:18,70850,14750,"2019-08-25"
"179",179,-3,"AFINN","....bad Economic times, the worse the better, anything to make my Election more difficult to win. Well, we are having very good meetings, the Leaders are getting along very well, and our Country, economically, is doing great - the talk of the world!",2019-08-25 05:41:40,95901,19262,"2019-08-25"
"180",180,-12,"AFINN","Before I arrived in France, the Fake and Disgusting News was saying that relations with the 6 others countries in the G-7 are very tense, and that the two days of meetings will be a disaster. Just like they are trying to force a Recession, they are trying to “will” America into..",2019-08-25 05:41:39,107318,23079,"2019-08-25"
"181",181,0,"AFINN","The Media is destroying the Free Press! Mark Levin. So True!",2019-08-24 23:08:27,82665,19123,"2019-08-24"
"182",182,3,"AFINN","Thank you both. Sooo nice! https://t.co/Fo2CLjc9YZ",2019-08-24 22:52:51,91995,19637,"2019-08-24"
"183",183,2,"AFINN","France and President @EmmanuelMacron have done a really great job thus far with a very important G-7. Lunch with Emmanuel was the best meeting we have yet had. Likewise, evening meeting with World Leaders went very well. Progress being made!",2019-08-24 22:52:10,54291,11849,"2019-08-24"
"184",184,3,"AFINN","AMERICA IS OPEN FOR BUSINESS!
 
Thanks to @realDonaldTrump’s pro-growth policies, small businesses are thriving and Americans are back to work. 
 
To celebrate, we’re hosting over 30 events to tout the President’s economic record in over 17 states!
https://t.co/ZdUqyZ81Ly",2019-08-24 22:50:19,0,7190,"2019-08-24"
"185",185,0,"AFINN","President @realDonaldTrump and Prime Minister @BorisJohnson catching up with each other tonight in France! #G7Biarritz https://t.co/1a31P8EYhB",2019-08-24 22:50:07,0,8371,"2019-08-24"
"186",186,0,"AFINN","Our great Economy is the talk of everyone!",2019-08-24 22:49:23,81192,15663,"2019-08-24"
"187",187,0,"AFINN","President @realDonaldTrump and @FLOTUS are in France for #G7Biarritz! https://t.co/XPAmyb6Orb",2019-08-24 22:00:02,0,8776,"2019-08-24"
"188",188,-6,"AFINN","North Carolina Governor Cooper Vetoed a Bill that would have required Sheriffs to cooperate with Ice. This is a terrible decision for the great people of North Carolina. He should reverse his decision and get back to the basics of fighting crime!",2019-08-24 15:35:10,77681,21023,"2019-08-24"
"189",189,2,"AFINN","Looking forward to helping New York City and Governor @andrewcuomo complete the long anticipated, and partially built, Second Avenue Subway. Would be extended to East 125th Street in Harlem. Long in the making, they now have the team that can get it done!",2019-08-24 15:24:54,45257,9745,"2019-08-24"
"190",190,0,"AFINN","Just had lunch with French President @EmmanuelMacron. Many good things are happening for both of our countries. Big weekend with other world leaders!",2019-08-24 15:22:35,56037,11068,"2019-08-24"
"191",191,0,"AFINN","“Face It, You Probably Got A Tax Cut!” This was a New York Times headline, and it is very true. If Republicans take back the House, and keep the Senate and Presidency, one of our first acts will be to approve a major middle income Tax Cut! Democrats only want to raise your taxes!",2019-08-24 15:15:14,83172,22087,"2019-08-24"
"192",192,6,"AFINN","....having fun. I was smiling as I looked up and around. The MANY reporters with me were smiling also. They knew the TRUTH...And yet when I saw the reporting, CNN, MSNBC and other Fake News outlets covered it as serious news &amp; me thinking of myself as the Messiah. No more trust!",2019-08-24 15:00:34,115268,21142,"2019-08-24"
"193",193,-2,"AFINN","When I looked up to the sky and jokingly said “I am the chosen one,” at a press conference two days ago, referring to taking on Trade with China, little did I realize that the media would claim that I had a “Messiah complex.” They knew I was kidding, being sarcastic, and just....",2019-08-24 15:00:34,136840,26701,"2019-08-24"
"194",194,-5,"AFINN","For all of the Fake News Reporters that don’t have a clue as to what the law is relative to Presidential powers, China, etc., try looking at the Emergency Economic Powers Act of 1977. Case closed!",2019-08-24 03:58:32,91611,23480,"2019-08-24"
"195",195,-4,"AFINN","Such a sad and pathetic fall for @CNN and Jeff Z! https://t.co/vrivSUlDi3",2019-08-24 01:31:14,61133,15038,"2019-08-24"
"196",196,0,"AFINN","TV RATINGS: Thursday August 22nd, Fox News had a commanding lead over MSNBC and CNN in total viewers, with the most-watched hours being @seanhannity, @TuckerCarlson, @IngrahamAngle, @thefive, @BretBaier &amp; @marthamaccallum. 
https://t.co/3p6s8Aebnf https://t.co/nTTEEeWGDE",2019-08-24 01:29:25,0,5775,"2019-08-24"
"197",197,-9,"AFINN","Andrew McCabe: fired for lying to the FBI, caught by the Inspector General for unauthorized media leaks, and—worst of all—one of the ring-leaders in spreading the debunked and disastrous ""Russian collusion"" conspiracy theory.

His reward? A paid CNN contract.

Comical.",2019-08-24 01:28:16,0,20214,"2019-08-24"
"198",198,-3,"AFINN","Other good polls also in fifties, despite only Fake News, and then phony polls by A.P., CNN, NBC and, as always, Fox, who were WAY OFF on 2016 Election! https://t.co/DksmF8hTr7",2019-08-24 01:19:38,50828,12166,"2019-08-24"
"199",199,0,"AFINN","U.S. jobless claims fell even more than expected last week. 👊 https://t.co/H6hKsqfcjD",2019-08-24 01:12:06,0,8937,"2019-08-24"
"200",200,-1,"AFINN","The Flores agreement is a catch-22—creating ""an enormous incentive for adult migrants to bring kids along, even if the journey puts them in danger,"" the New York Post editorial board writes.

More: https://t.co/TbuBn6wJHh https://t.co/FOfASMvLey",2019-08-24 01:11:13,0,6040,"2019-08-24"
"201",201,1,"AFINN","This month, President @realDonaldTrump released a major decision to protect energy workers, maintain our energy dominance, and expedite U.S. energy infrastructure projects. https://t.co/HNOiBmC7Kh",2019-08-24 01:10:48,0,6887,"2019-08-24"
"202",202,0,"AFINN","Disgraceful! https://t.co/G4q9Uh1aMc",2019-08-24 01:10:32,47435,12322,"2019-08-24"
"203",203,0,"AFINN","The Fed had the Democrats' back for years: Rep. Gohmert https://t.co/0n0KiCvF3n  @MorningsMaria @FoxBusiness",2019-08-24 01:07:52,0,7073,"2019-08-24"
"204",204,0,"AFINN","It’s a new dawn for American energy and manufacturing. https://t.co/UXmn6HYYqF",2019-08-24 01:07:24,0,8154,"2019-08-24"
"205",205,4,"AFINN","Thank you Ivanka. Really Amazing! https://t.co/97DAfBsdHu",2019-08-24 01:06:32,51101,10404,"2019-08-24"
"206",206,0,"AFINN","Looking forward to being with great leaders in France! Leaving soon. https://t.co/hUd66sKFU2",2019-08-24 01:04:33,39158,8582,"2019-08-24"
"207",207,0,"AFINN","Highest Condolences! Thank you V.P. https://t.co/abydDSlDBw",2019-08-24 01:02:05,58497,12682,"2019-08-24"
"208",208,0,"AFINN","Great going Harris! https://t.co/KuHQC4F1sz",2019-08-24 00:58:55,30530,6312,"2019-08-24"
"209",209,-3,"AFINN","Great! He said MAGA country did it. So terrible! https://t.co/Vw1xQBZjzN",2019-08-24 00:54:13,42447,10093,"2019-08-24"
"210",210,0,"AFINN","U.S. Treasury Designates China as a Currency Manipulator: https://t.co/7OnySGjzH1",2019-08-24 00:50:50,0,5652,"2019-08-24"
"211",211,NA,NA,"Thank you!! https://t.co/F8N2BnPCRz",2019-08-24 00:49:59,0,4553,"2019-08-24"
"212",212,-2,"AFINN","Can't miss @rushlimbaugh https://t.co/H687VWIDDi",2019-08-24 00:47:00,0,6909,"2019-08-24"
"213",213,7,"AFINN","Thank you to @DiamondandSilk for the really nice words and thoughts on @LouDobbs, tonight hosted by Lou’s friend, @DavidAsmanfox. Great job by all. P.S. Check out these two great women on tour tomorrow night in NYC at the Marriott Marquis Hotel, Broadway. Have fun!",2019-08-24 00:46:22,47119,10355,"2019-08-24"
"214",214,9,"AFINN","Just spoke with President @JairBolsonaro of Brazil. Our future Trade prospects are very exciting and our relationship is strong, perhaps stronger than ever before. I told him if the United States can help with the Amazon Rainforest fires, we stand ready to assist!",2019-08-23 22:04:25,175860,37561,"2019-08-23"
"215",215,1,"AFINN","...Additionally, the remaining 300 BILLION DOLLARS of goods and products from China, that was being taxed from September 1st at 10%, will now be taxed at 15%. Thank you for your attention to this matter!",2019-08-23 21:00:33,73851,17021,"2019-08-23"
"216",216,1,"AFINN","...unfair Trading Relationship. China should not have put new Tariffs on 75 BILLION DOLLARS of United States product (politically motivated!). Starting on October 1st, the 250 BILLION DOLLARS of goods and products from China, currently being taxed at 25%, will be taxed at 30%...",2019-08-23 21:00:33,67021,15518,"2019-08-23"
"217",217,1,"AFINN","....Sadly, past Administrations have allowed China to get so far ahead of Fair and Balanced Trade that it has become a great burden to the American Taxpayer. As President, I can no longer allow this to happen! In the spirit of achieving Fair Trade, we must Balance this very....",2019-08-23 21:00:32,29642,7862,"2019-08-23"
"218",218,0,"AFINN","For many years China (and many other countries) has been taking advantage of the United States on Trade, Intellectual Property Theft, and much more. Our Country has been losing HUNDREDS OF BILLIONS OF DOLLARS a year to China, with no end in sight....",2019-08-23 21:00:32,87870,21006,"2019-08-23"
"219",219,0,"AFINN","The Dow is down 573 points perhaps on the news that Representative Seth Moulton, whoever that may be, has dropped out of the 2020 Presidential Race!",2019-08-23 19:01:20,80882,15641,"2019-08-23"
"220",220,-2,"AFINN","....all deliveries of Fentanyl from China (or anywhere else!). Fentanyl kills 100,000 Americans a year. President Xi said this would stop - it didn’t. Our Economy, because of our gains in the last 2 1/2 years, is MUCH larger than that of China. We will keep it that way!",2019-08-23 14:59:05,94670,22158,"2019-08-23"
"221",221,1,"AFINN","....your companies HOME and making your products in the USA. I will be responding to China’s Tariffs this afternoon. This is a GREAT opportunity for the United States. Also, I am ordering all carriers, including Fed Ex, Amazon, UPS and the Post Office, to SEARCH FOR &amp; REFUSE,....",2019-08-23 14:59:04,83875,19425,"2019-08-23"
"222",222,-2,"AFINN","....better off without them. The vast amounts of money made and stolen by China from the United States, year after year, for decades, will and must STOP. Our great American companies are hereby ordered to immediately start looking for an alternative to China, including bringing..",2019-08-23 14:59:04,56021,15017,"2019-08-23"
"223",223,-7,"AFINN","Our Country has lost, stupidly, Trillions of Dollars with China over many years. They have stolen our Intellectual Property at a rate of Hundreds of Billions of Dollars a year, &amp; they want to continue. I won’t let that happen! We don’t need China and, frankly, would be far....",2019-08-23 14:59:03,135563,34878,"2019-08-23"
"224",224,-2,"AFINN","....My only question is, who is our bigger enemy, Jay Powell or Chairman Xi?",2019-08-23 14:57:40,57854,13924,"2019-08-23"
"225",225,0,"AFINN","As usual, the Fed did NOTHING! It is incredible that they can “speak” without knowing or asking what I am doing, which will be announced shortly. We have a very strong dollar and a very weak Fed. I will work “brilliantly” with both, and the U.S. will do great...",2019-08-23 14:57:40,70434,16148,"2019-08-23"
"226",226,0,"AFINN","Now the Fed can show their stuff!",2019-08-23 13:01:33,64776,13452,"2019-08-23"
"227",227,-3,"AFINN","This despite the Fake News and Polls! https://t.co/DksmF8hTr7",2019-08-23 11:29:06,67530,16056,"2019-08-23"
"228",228,15,"AFINN","..willing to lose their wealth, or a big part of it, just for the possibility of winning the Election. But it won’t work because I always find a way to win, especially for the people! The greatest political movement in the history of our Country will have another big win in 2020!",2019-08-23 11:24:51,75442,16524,"2019-08-23"
"229",229,-2,"AFINN","The Economy is strong and good, whereas the rest of the world is not doing so well. Despite this the Fake News Media, together with their Partner, the Democrat Party, are working overtime to convince people that we are in, or will soon be going into, a Recession. They are.....",2019-08-23 11:24:51,79973,18019,"2019-08-23"
"230",230,2,"AFINN","94% Approval Rating within the  Republican Party. Thank you!",2019-08-23 10:49:11,133096,22608,"2019-08-23"
"231",231,-1,"AFINN","Are #Democrats too extreme when it comes to #GunControl? @DavidAsmanfox is joined by @KimStrassel of @WSJ to discuss how gun control isn't just a #SecondAmendment issue, but a due process issue as well. #VarneyCo https://t.co/SkZ03JEqZB",2019-08-23 04:05:22,0,5516,"2019-08-23"
"232",232,0,"AFINN","Today is the day: book is out. https://t.co/1w1oZzUrWX",2019-08-23 04:04:50,0,7535,"2019-08-23"
"233",233,-2,"AFINN","Please read my attached statement with regard to the decision of the Government of Israel to deny entry to BDS activists, Congresswomen Ilhan Omar and Rashida Tlaib, in accordance with its national laws. https://t.co/q9M2N1uRkr",2019-08-23 04:04:23,0,10215,"2019-08-23"
"234",234,4,"AFINN","I just started reading my copy last night. Fantastic book! https://t.co/ar7IE8G7Hz",2019-08-23 04:04:05,0,4149,"2019-08-23"
"235",235,0,"AFINN","How did a private citizen--Fusion GPS head Glenn Simpson--command so much attention from high-ranking officials?
 https://t.co/dcU6W2fDPz via @WSJ",2019-08-23 04:02:51,0,7767,"2019-08-23"
"236",236,0,"AFINN","I don’t get it. Why limit it to the world? Shouldn’t we aspire to more? https://t.co/In30uJX3YQ",2019-08-23 03:58:57,0,4197,"2019-08-23"
"237",237,-14,"AFINN","If you watched this week's liberal excesses with anger/frustration, and are worried about the damage the Resistance is doing to norms/nation--have I got a book for you. An in-depth look at the wrecking ball the Trump haters are taking to the country. https://t.co/ghdMZphg6c",2019-08-23 03:57:35,0,5774,"2019-08-23"
"238",238,0,"AFINN","The Democratic Party Is Becoming Unsalvageable – Tablet Magazine https://t.co/JMjMZOPZLp",2019-08-23 03:56:22,0,8238,"2019-08-23"
"239",239,2,"AFINN","EXCITING NEWS: I've written a book on the Kavanaugh confirmation with the inimitable @JCNSeverino. We interviewed more than 100 key players to get the behind-the-scenes look at the nomination and battle over the Supreme Court. Buy it now! https://t.co/yK36nTGtA4 https://t.co/3rIstwxzZP",2019-08-23 03:56:10,0,5426,"2019-08-23"
