"","linenumber","sentiment","method","text","created_at","favorite_count","retweet_count","date"
"28",28,5,"AFINN","Highlights from today’s @HINOTRUCKSUSA visit 🚛🚚 Although #WV has a vibrant automotive industrial cluster, this facility is the largest automotive assembly plant in the state &amp; is important for demonstrating WV’s capacity to support a facility of this scale. https://t.co/gFv7GhU8Yl",2019-08-31 12:11:39,0,2710,"2019-08-31"
"29",29,0,"AFINN","A historic meeting with U.S. military &amp; Mexican officials protecting both sides of our southern border. Due to joint cooperation, border crossings have ⬇️ 43% over the past 2 months &amp; we’re looking forward to seeing that continue thanks to @realdonaldtrump &amp; our Mexican partners. https://t.co/lVeoOmMVrD",2019-08-31 12:11:32,0,3681,"2019-08-31"
"30",30,3,"AFINN","Fact: Thanks to pro-growth policies of this Administration, Americans are earning more. 

Since the passage of Tax Cuts, real disposable personal income per household has increased $5,205 and the lowest wage earners have seen the fastest nominal wage growth (8.9%)!",2019-08-31 12:11:17,0,8038,"2019-08-31"
"31",31,-1,"AFINN","“The IG found that James Comey leaked Classified Documents to his attorneys, which can be (is) a violation of the Espionage Act. This is consistent with all the lies that Comey has been spreading. @GreggJarrett  @ByronYork @LouDobbs",2019-08-31 12:11:16,38497,10674,"2019-08-31"
"32",32,0,"AFINN","Cory is doing a Great job for Colorado! https://t.co/OmsGvWL9E3",2019-08-31 12:11:15,21359,4540,"2019-08-31"
"33",33,2,"AFINN","Today I saw firsthand the critical and innovative research and ground tests for the international space community being done right here in #Ohio at NASA’s facilities in #Cleveland and #Sandusky. https://t.co/mMm89KIUy2",2019-08-31 12:06:54,0,2751,"2019-08-31"
"34",34,5,"AFINN","On this day 99 years ago, the 19th Amendment was adopted to our Constitution, securing for women the right to vote.
 
Today we celebrate #WomensEqualityDay and we honor the trailblazing women who fought for this sacred right. 🇺🇸 https://t.co/b1yAR6Tf5X",2019-08-31 12:06:48,0,2944,"2019-08-31"
"35",35,2,"AFINN","If it wasn't for one convincing mother, the 19th Amendment may not have been ratified. Harry T. Burn, a state representative, had planned to vote against the Amendment until his mother successfully urged him to change his vote. https://t.co/LtJSXNYKFq",2019-08-31 12:06:48,0,3123,"2019-08-31"
"36",36,-1,"AFINN","As I travel around the state, a lot of people ask about securing the US-Mexico border &amp; what Congress can do to fix the broken immigration process. Last month, I visited the US-Mexico border with @SenJoniErnst &amp; @SenBillCassidy to see firsthand what needs to be done. https://t.co/3xHZZz3bfY",2019-08-31 12:06:46,0,2833,"2019-08-31"
"37",37,0,"AFINN","Nobody knows more about Healthcare than John. Great guy! https://t.co/T4i0UYqLqd",2019-08-31 12:06:30,21506,4384,"2019-08-31"
"38",38,2,"AFINN","Stopped in and visited with the Witschey family at their market in New Martinsville this morning. Celebrating 75 years in business! Simply the best! https://t.co/maB8lHLo1X",2019-08-31 12:06:30,0,2075,"2019-08-31"
"39",39,0,"AFINN","I saw some of the handiwork of the engineering students at Rose Hulman Institute of Technology, including a concrete canoe and a vehicle that can get 1,800 miles per gallon. https://t.co/Urb3fOYfoo",2019-08-31 12:06:27,0,2252,"2019-08-31"
"40",40,2,"AFINN","As a major export state, Utah’s agricultural industry would greatly benefit from #USMCAnow. Hosted a roundtable this evening with Utah @FarmBureau president Ron Gibson and leaders from Utah's major agricultural industries to discuss USMCA other challenges facing the industry. https://t.co/xvlWucbfxl",2019-08-31 12:06:26,0,1817,"2019-08-31"
"41",41,4,"AFINN","I will continue to work in Washington to ensure that @NasaGlenn has the support it needs to carry out it’s vital missions for @NASA and to ensure stability for the more than 3,200 #Ohioans who work there. https://t.co/fwtB4I210U",2019-08-31 12:06:25,0,2143,"2019-08-31"
"42",42,6,"AFINN","An amazing guy, respected by all! https://t.co/S814IXvHc4",2019-08-31 12:00:24,27323,5931,"2019-08-31"
"43",43,0,"AFINN","The #ServingARVets tour has been a great week traveling across the state meeting with #veterans, visiting vet-owned businesses, touring VA facilities serving Arkansans and listening to voices advocating with and for our former service members. Thanks to all who participated. https://t.co/r4LioK4GkY",2019-08-31 11:59:08,0,2336,"2019-08-31"
"44",44,5,"AFINN",".@SenatorIsakson serves the people of Georgia with honor, distinction and deep devotion. Johnny is a true gentleman.   A powerful voice in the United States Senate, his leadership and counsel will be greatly missed. We will keep Senator Isakson and his family in our prayers. https://t.co/1xJohrbAsX",2019-08-31 11:58:57,0,2366,"2019-08-31"
"45",45,1,"AFINN","As the chairman of the Senate Veterans' Affairs Committee, @SenatorIsakson has led significant efforts to transform the VA and improve the lives of those who bravely served our nation. His leadership in the Senate will be greatly missed, especially by Georgians… https://t.co/5yV7TvZZ37",2019-08-31 11:58:48,0,2276,"2019-08-31"
"46",46,2,"AFINN","Nobody works harder or smarter than Joni! https://t.co/vqvW5I8ngI",2019-08-31 11:58:45,25598,5552,"2019-08-31"
"47",47,0,"AFINN","One of the greats! https://t.co/14o0j9aZfj",2019-08-31 11:58:44,19123,3916,"2019-08-31"
"48",48,2,"AFINN","Proud @AmericanAir announced they're bringing more than 400 jobs to Tulsa. As a pilot myself, I know how vital maintenance technicians are to supporting the future of the entire aviation industry, which is why I work hard advocating for their protection &amp; betterment in Congress. https://t.co/z85rLqqe0k",2019-08-31 11:54:21,0,2781,"2019-08-31"
"49",49,0,"AFINN","Representing Indiana on the @SenateAg Committee means it’s so important to sit down with Hoosier farmers to dig into what affects them every day - especially with international insights from @USDA Under Secretary for Trade &amp; Foreign Ag Affairs Ted McKinney. https://t.co/K9kPnaJd7A",2019-08-31 11:54:05,0,2272,"2019-08-31"
"50",50,-1,"AFINN","Senate Republicans are unified against any court packing schemes. We promise this: while we remain members of this body, the Democrats’ threat to restructure the Supreme Court is an empty one.
https://t.co/gLASUFbYNo",2019-08-31 11:53:22,0,5406,"2019-08-31"
"51",51,-5,"AFINN","Like the rest of the Democratic party platform, this court-packing scheme is nothing more than a sloppy regurgitation of a 1930’s failure.

Their threat to implement this radical plan if the court does not follow their demands should concern all Americans. https://t.co/aYX4W1CjeN",2019-08-31 11:53:01,0,4510,"2019-08-31"
"52",52,11,"AFINN","A very happy birthday to the United States Marine Corps Reserve! We are truly honored to have such outstanding men and women serving our country both at home and abroad. https://t.co/ONuymArrgz",2019-08-31 11:51:49,0,3261,"2019-08-31"
"53",53,2,"AFINN","“This attempt by Democrats to intimidate the Court is highly inappropriate,” said Chairman @LindseyGrahamSC. ""The Left is desperate because they no longer have confidence in their own ability to be successful at the ballot box.” 

https://t.co/E0qvatGIIb",2019-08-31 11:51:28,0,4943,"2019-08-31"
"54",54,0,"AFINN","Great job Thom! https://t.co/N8mHjP1PHI",2019-08-31 11:51:09,19077,3569,"2019-08-31"
"55",55,-6,"AFINN","The independence of our judicial branch is under attack.
 
Our Democrat colleagues’ threats to pack the Court are an explicit effort to further their radical agenda.
 
@SenateGOP will not stand idly by &amp; watch them destroy our nation’s highest court. https://t.co/7g7cz3uiho",2019-08-31 11:51:05,0,4402,"2019-08-31"
"56",56,-2,"AFINN","The Supreme Court should rule in cases only as the law dictates, without regard to the identity of the parties or politics of the moment. I joined @senatemajldr &amp; other Senate Republicans in condemning recent threats to pack the Supreme Court. https://t.co/s20QZLpuIK",2019-08-31 11:51:01,0,3607,"2019-08-31"
"57",57,0,"AFINN","Thank you Kevin. Great things are happening at the Border! https://t.co/gR71Z1Au8B",2019-08-31 11:45:36,27700,6645,"2019-08-31"
"58",58,-2,"AFINN","Unreal: the fmr Fed Chair is lobbying the Fed to use its authority to meddle in the election to defeat @realDonaldTrump. POTUS is standing up for America against China after 30 years of our country &amp; workers being ripped off and now some are trying anything to stop his efforts.",2019-08-31 04:17:21,0,10733,"2019-08-31"
"59",59,1,"AFINN","I am monitoring Hurricane Dorian and receiving frequent briefings and updates. It is important to heed the directions of your State and Local Officials. This is an extremely dangerous storm, please prepare and be safe! @FEMA @NWS @NOAA @Readygov @FLSERT https://t.co/Fee9EB1wQk",2019-08-31 04:13:39,38070,9110,"2019-08-31"
"60",60,1,"AFINN","....pass the laugh test, and the Inspector General just knocked that down.” @ByronYork  @LouDobbs",2019-08-30 23:54:24,50013,10304,"2019-08-30"
"61",61,-6,"AFINN","“They could have charged Comey with theft of government documents, 641 of the Criminal Code, because the IG found these were not his personal documents, these were government documents.” @GreggJarrett  “Comey’s claim that these were just his own personal recollections would not..",2019-08-30 23:54:24,61546,14326,"2019-08-30"
"62",62,0,"AFINN","Just arrived at Camp David!",2019-08-30 23:37:50,71036,9863,"2019-08-30"
"63",63,-5,"AFINN","The Great State of North Carolina has EARLY VOTING for a very important Congressional (Ninth) race. Please vote early (now), or on Election Day, September 10th, for Dan Bishop, a great guy. His opponent wants Open Borders, Sanctuary Cities &amp; is weak on Crime, Military &amp; Vets!",2019-08-30 21:39:54,68662,21832,"2019-08-30"
"64",64,NA,NA,"https://t.co/ufd7tsGyAx",2019-08-30 20:00:31,40345,10091,"2019-08-30"
"65",65,0,"AFINN","This should NEVER happen to another President again! https://t.co/4ynSXVo9e9",2019-08-30 19:12:50,67378,19240,"2019-08-30"
"66",66,0,"AFINN","""FALLOUT FROM IG'S SCATHING COMEY REPORT"" https://t.co/NrpeBkPbww",2019-08-30 18:57:59,38295,11198,"2019-08-30"
"67",67,-3,"AFINN","“One of the most disgraceful examples of an abuse of power by a government official…when you read this report…this is a systematic effort to go after Candidate Trump, President Elect-Trump, and President Trump....you could virtually call this an attempted coup."" @RepPeteKing https://t.co/eThclvr5Ke",2019-08-30 18:53:51,56785,18686,"2019-08-30"
"68",68,2,"AFINN","Thanks @RepDougCollins - TRUE! https://t.co/o49tPKdWct",2019-08-30 18:05:03,36889,9935,"2019-08-30"
"69",69,-1,"AFINN","The United States of America was not involved in the catastrophic accident during final launch preparations for the Safir SLV Launch at Semnan Launch Site One in Iran. I wish Iran best wishes and good luck in determining what happened at Site One. https://t.co/z0iDj2L0Y3",2019-08-30 17:44:45,61567,17761,"2019-08-30"
